defect_id,defect_type,severity,location_on_part,disposition,cost_impact,inspection_id,inspection_type,inspection_date,inspection_result,dimension_error,visual_score,run_id,part_number,production_line,run_date,shift,operator_id,year_month,year,supplier_name,supplier_tier,supplier_country
DEF-000111,Contamination,Minor,Edge Break,Rework,77.54,INS-000322,Final,2024-06-25,Fail,0.0145,6,RUN-00208,AV-3301-PCB,Line-Delta,2024-06-23,Night,OP-009,2024-06,2024,Internal,N/A,N/A
DEF-000184,Marking / Labeling Error,Minor,Flange,Return to Supplier,102.4,INS-000526,Receiving,2024-06-17,Fail,0.0662,1,RUN-00335,ST-8801-FASTENER,Line-Charlie,2024-06-16,Night,OP-014,2024-06,2024,Helios Fastener Systems,Tier-2,Germany
DEF-000199,Porosity / Void,Minor,Seal Face,Scrap,253.63,INS-000572,IQC,2024-06-17,Fail,0.0426,1,RUN-00371,PR-5502-NOZZLE,Line-Alpha,2024-06-16,Night,OP-005,2024-06,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000038,Porosity / Void,Minor,Thread,Use-As-Is,112.9,INS-000107,FAI,2024-06-15,Fail,0.0304,4,RUN-00069,GD-2201-SERVO,Line-Delta,2024-06-15,Day,OP-012,2024-06,2024,Internal,N/A,N/A
DEF-000156,Contamination,Minor,Seal Face,MRB Hold,332.62,INS-000442,FAI,2024-06-10,Fail,0.0224,2,RUN-00285,GD-2201-SERVO,Line-Alpha,2024-06-10,Night,OP-012,2024-06,2024,Internal,N/A,N/A
DEF-000106,Contamination,Critical,Edge Break,Rework,7326.74,INS-000297,IQC,2024-06-07,Fail,0.0014,6,RUN-00189,ST-8802-FASTENER,Line-Alpha,2024-06-05,Night,OP-007,2024-06,2024,Delta Forge Industries,Tier-2,USA
DEF-000054,Contamination,Minor,Edge Break,MRB Hold,228.68,INS-000155,IQC,2024-05-24,Fail,0.0653,6,RUN-00098,AV-3301-PCB,Line-Bravo,2024-05-23,Night,OP-019,2024-05,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000036,Wrong Material Cert,Minor,Weld Zone,Return to Supplier,354.67,INS-000097,IQC,2024-05-20,Fail,0.0227,3,RUN-00064,GD-2201-SERVO,Line-Charlie,2024-05-19,Day,OP-011,2024-05,2024,StratoMet Components,Tier-2,UK
DEF-000105,Marking / Labeling Error,Major,Datum,Return to Supplier,1449.4,INS-000296,Final,2024-05-17,Fail,0.2445,2,RUN-00188,ST-8802-FASTENER,Line-Charlie,2024-05-15,Night,OP-009,2024-05,2024,Internal,N/A,N/A
DEF-000072,Surface Finish Non-Conformance,Minor,Thread,MRB Hold,257.29,INS-000210,IQC,2024-05-16,Fail,0.0792,4,RUN-00132,AV-3301-PCB,Line-Bravo,2024-05-14,Night,OP-010,2024-05,2024,Atlas Substrate Corp,Tier-3,India
DEF-000073,Dimensional Out-of-Tolerance,Minor,Edge Break,Rework,441.09,INS-000210,IQC,2024-05-16,Fail,0.0792,4,RUN-00132,AV-3301-PCB,Line-Bravo,2024-05-14,Night,OP-010,2024-05,2024,Atlas Substrate Corp,Tier-3,India
DEF-000221,Weld Defect,Minor,Surface,Return to Supplier,130.76,INS-000634,In-Process,2024-05-13,Fail,0.111,1,RUN-00412,AS-7741-FRAME,Line-Charlie,2024-05-10,Swing,OP-002,2024-05,2024,Internal,N/A,N/A
DEF-000259,Corrosion / Oxidation,Major,Bore,Return to Supplier,1249.93,INS-000750,Receiving,2024-05-13,Fail,0.0284,3,RUN-00492,PR-5502-NOZZLE,Line-Charlie,2024-05-11,Swing,OP-007,2024-05,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000260,Wrong Material Cert,Minor,Bore,Use-As-Is,289.48,INS-000750,Receiving,2024-05-13,Fail,0.0284,3,RUN-00492,PR-5502-NOZZLE,Line-Charlie,2024-05-11,Swing,OP-007,2024-05,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000261,Improper Torque,Minor,Seal Face,Use-As-Is,174.05,INS-000751,Receiving,2024-05-11,Fail,0.0506,1,RUN-00492,PR-5502-NOZZLE,Line-Charlie,2024-05-11,Swing,OP-007,2024-05,2024,Meridian Surface Treatments,Tier-3,Mexico
DEF-000249,Corrosion / Oxidation,Minor,Bore,Use-As-Is,193.59,INS-000723,Final,2024-05-10,Fail,0.0092,4,RUN-00472,GD-2201-SERVO,Line-Charlie,2024-05-09,Swing,OP-009,2024-05,2024,Internal,N/A,N/A
DEF-000002,Wrong Material Cert,Minor,Surface,MRB Hold,208.37,INS-000004,Final,2024-05-06,Fail,0.0859,5,RUN-00002,PR-5501-NOZZLE,Line-Bravo,2024-05-03,Night,OP-020,2024-05,2024,Internal,N/A,N/A
DEF-000001,Marking / Labeling Error,Major,Bore,Return to Supplier,2887.58,INS-000003,IQC,2024-05-04,Fail,0.0491,1,RUN-00002,PR-5501-NOZZLE,Line-Bravo,2024-05-03,Night,OP-020,2024-05,2024,Pacific Rim Castings,Tier-2,Japan
DEF-000228,Improper Torque,Minor,Surface,Use-As-Is,210.55,INS-000648,In-Process,2024-05-04,Fail,0.0071,6,RUN-00423,ST-8801-FASTENER,Line-Bravo,2024-05-01,Swing,OP-025,2024-05,2024,Internal,N/A,N/A
DEF-000061,Wrong Material Cert,Minor,Surface,Use-As-Is,422.17,INS-000177,Receiving,2024-05-02,Fail,0.0179,4,RUN-00111,PR-5501-NOZZLE,Line-Alpha,2024-05-02,Night,OP-001,2024-05,2024,Helios Fastener Systems,Tier-2,Germany
DEF-000062,Corrosion / Oxidation,Minor,Datum,MRB Hold,164.78,INS-000177,Receiving,2024-05-02,Fail,0.0179,4,RUN-00111,PR-5501-NOZZLE,Line-Alpha,2024-05-02,Night,OP-001,2024-05,2024,Helios Fastener Systems,Tier-2,Germany
DEF-000223,Improper Torque,Minor,Seal Face,MRB Hold,284.73,INS-000639,FAI,2024-05-02,Fail,0.1072,3,RUN-00415,AS-7741-FRAME,Line-Bravo,2024-04-29,Swing,OP-018,2024-04,2024,Internal,N/A,N/A
DEF-000157,Marking / Labeling Error,Minor,Seal Face,Scrap,222.73,INS-000445,Final,2024-04-21,Fail,0.0509,2,RUN-00286,AV-3302-PCB,Line-Alpha,2024-04-21,Night,OP-011,2024-04,2024,Internal,N/A,N/A
DEF-000180,Weld Defect,Minor,Bore,Scrap,311.0,INS-000515,FAI,2024-04-16,Fail,0.2508,2,RUN-00329,AS-7740-FRAME,Line-Delta,2024-04-14,Day,OP-025,2024-04,2024,Internal,N/A,N/A
DEF-000181,Contamination,Major,Weld Zone,Return to Supplier,1856.77,INS-000515,FAI,2024-04-16,Fail,0.2508,2,RUN-00329,AS-7740-FRAME,Line-Delta,2024-04-14,Day,OP-025,2024-04,2024,Internal,N/A,N/A
DEF-000182,Surface Finish Non-Conformance,Major,Bore,Return to Supplier,2917.38,INS-000515,FAI,2024-04-16,Fail,0.2508,2,RUN-00329,AS-7740-FRAME,Line-Delta,2024-04-14,Day,OP-025,2024-04,2024,Internal,N/A,N/A
DEF-000079,Marking / Labeling Error,Major,Datum,Return to Supplier,2771.33,INS-000228,Final,2024-04-15,Fail,0.0462,1,RUN-00144,ST-8801-FASTENER,Line-Alpha,2024-04-14,Night,OP-018,2024-04,2024,Internal,N/A,N/A
DEF-000053,Porosity / Void,Minor,Thread,Return to Supplier,404.3,INS-000150,IQC,2024-04-11,Fail,0.0645,4,RUN-00095,ST-8801-FASTENER,Line-Alpha,2024-04-09,Night,OP-024,2024-04,2024,Pacific Rim Castings,Tier-2,Japan
DEF-000158,Dimensional Out-of-Tolerance,Major,Edge Break,MRB Hold,691.33,INS-000451,IQC,2024-04-10,Fail,0.0275,3,RUN-00289,GD-2202-SERVO,Line-Alpha,2024-04-08,Day,OP-004,2024-04,2024,NovaTech Avionics Supply,Tier-1,USA
DEF-000207,Contamination,Major,Flange,Scrap,519.45,INS-000584,In-Process,2024-04-08,Fail,0.0112,4,RUN-00377,AV-3301-PCB,Line-Charlie,2024-04-07,Day,OP-015,2024-04,2024,Internal,N/A,N/A
DEF-000093,Missing Feature,Minor,Datum,Return to Supplier,209.34,INS-000265,Receiving,2024-04-06,Fail,0.0577,5,RUN-00169,GD-2201-SERVO,Line-Bravo,2024-04-03,Night,OP-021,2024-04,2024,Atlas Substrate Corp,Tier-3,India
DEF-000092,Dimensional Out-of-Tolerance,Minor,Edge Break,Return to Supplier,290.29,INS-000260,Receiving,2024-03-28,Fail,0.091,5,RUN-00166,GD-2201-SERVO,Line-Charlie,2024-03-28,Swing,OP-011,2024-03,2024,StratoMet Components,Tier-2,UK
DEF-000213,Contamination,Major,Edge Break,MRB Hold,1814.56,INS-000606,IQC,2024-03-23,Fail,0.0086,4,RUN-00393,GD-2202-SERVO,Line-Charlie,2024-03-23,Day,OP-021,2024-03,2024,Meridian Surface Treatments,Tier-3,Mexico
DEF-000069,Improper Torque,Minor,Thread,Return to Supplier,112.59,INS-000197,Final,2024-03-15,Fail,0.1153,3,RUN-00124,GD-2202-SERVO,Line-Charlie,2024-03-13,Swing,OP-020,2024-03,2024,Internal,N/A,N/A
DEF-000070,Wrong Material Cert,Minor,Thread,Scrap,460.14,INS-000197,Final,2024-03-15,Fail,0.1153,3,RUN-00124,GD-2202-SERVO,Line-Charlie,2024-03-13,Swing,OP-020,2024-03,2024,Internal,N/A,N/A
DEF-000023,Marking / Labeling Error,Minor,Flange,Scrap,330.86,INS-000054,Receiving,2024-03-09,Fail,0.0205,3,RUN-00036,AV-3301-PCB,Line-Charlie,2024-03-06,Night,OP-014,2024-03,2024,Atlas Substrate Corp,Tier-3,India
DEF-000149,Wrong Material Cert,Major,Datum,MRB Hold,4939.62,INS-000425,Receiving,2024-03-08,Fail,0.0078,5,RUN-00274,GD-2201-SERVO,Line-Charlie,2024-03-05,Night,OP-006,2024-03,2024,Meridian Surface Treatments,Tier-3,Mexico
DEF-000148,Porosity / Void,Minor,Flange,Rework,377.7,INS-000424,In-Process,2024-03-07,Fail,0.0641,3,RUN-00274,GD-2201-SERVO,Line-Charlie,2024-03-05,Night,OP-006,2024-03,2024,Internal,N/A,N/A
DEF-000204,Corrosion / Oxidation,Minor,Flange,MRB Hold,432.15,INS-000577,FAI,2024-03-07,Fail,0.0127,1,RUN-00374,AS-7741-FRAME,Line-Bravo,2024-03-04,Swing,OP-012,2024-03,2024,Internal,N/A,N/A
DEF-000258,Improper Torque,Minor,Bore,MRB Hold,480.48,INS-000744,Receiving,2024-03-07,Fail,0.0772,5,RUN-00487,AS-7740-FRAME,Line-Bravo,2024-03-07,Night,OP-006,2024-03,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000127,Dimensional Out-of-Tolerance,Minor,Weld Zone,Rework,105.73,INS-000367,In-Process,2024-03-06,Fail,0.0448,2,RUN-00237,GD-2202-SERVO,Line-Alpha,2024-03-03,Night,OP-025,2024-03,2024,Internal,N/A,N/A
DEF-000171,Surface Finish Non-Conformance,Minor,Edge Break,Use-As-Is,400.28,INS-000483,Final,2024-03-04,Fail,0.0349,4,RUN-00307,GD-2201-SERVO,Line-Alpha,2024-03-01,Night,OP-006,2024-03,2024,Internal,N/A,N/A
DEF-000205,Weld Defect,Major,Edge Break,Scrap,4195.08,INS-000579,IQC,2024-03-04,Fail,0.0317,4,RUN-00374,AS-7741-FRAME,Line-Bravo,2024-03-04,Swing,OP-012,2024-03,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000021,Corrosion / Oxidation,Major,Bore,Use-As-Is,3055.86,INS-000047,Final,2024-03-03,Fail,0.097,4,RUN-00031,AV-3302-PCB,Line-Charlie,2024-03-03,Night,OP-013,2024-03,2024,Internal,N/A,N/A
DEF-000100,Corrosion / Oxidation,Minor,Edge Break,Return to Supplier,285.74,INS-000284,Receiving,2024-02-29,Fail,0.0389,6,RUN-00182,PR-5501-NOZZLE,Line-Charlie,2024-02-27,Night,OP-004,2024-02,2024,Pacific Rim Castings,Tier-2,Japan
DEF-000264,Marking / Labeling Error,Major,Weld Zone,MRB Hold,4080.17,INS-000765,In-Process,2024-02-29,Fail,0.1043,3,RUN-00500,AS-7740-FRAME,Line-Charlie,2024-02-28,Night,OP-003,2024-02,2024,Internal,N/A,N/A
DEF-000137,Wrong Material Cert,Minor,Seal Face,Return to Supplier,486.5,INS-000412,In-Process,2024-02-26,Fail,0.0522,3,RUN-00265,AV-3301-PCB,Line-Charlie,2024-02-26,Night,OP-024,2024-02,2024,Internal,N/A,N/A
DEF-000138,Wrong Material Cert,Major,Bore,Return to Supplier,1860.47,INS-000412,In-Process,2024-02-26,Fail,0.0522,3,RUN-00265,AV-3301-PCB,Line-Charlie,2024-02-26,Night,OP-024,2024-02,2024,Internal,N/A,N/A
DEF-000074,Missing Feature,Critical,Flange,Scrap,40527.09,INS-000214,FAI,2024-02-23,Fail,0.0168,5,RUN-00134,AV-3301-PCB,Line-Bravo,2024-02-22,Swing,OP-023,2024-02,2024,Internal,N/A,N/A
DEF-000151,Porosity / Void,Minor,Surface,MRB Hold,178.79,INS-000429,IQC,2024-02-20,Fail,0.0534,6,RUN-00277,ST-8801-FASTENER,Line-Bravo,2024-02-17,Swing,OP-020,2024-02,2024,Atlas Substrate Corp,Tier-3,India
DEF-000152,Weld Defect,Minor,Flange,MRB Hold,158.73,INS-000430,FAI,2024-02-20,Fail,0.0297,1,RUN-00277,ST-8801-FASTENER,Line-Bravo,2024-02-17,Swing,OP-020,2024-02,2024,Internal,N/A,N/A
DEF-000153,Missing Feature,Minor,Flange,Return to Supplier,454.52,INS-000431,IQC,2024-02-18,Fail,0.1003,2,RUN-00277,ST-8801-FASTENER,Line-Bravo,2024-02-17,Swing,OP-020,2024-02,2024,Pacific Rim Castings,Tier-2,Japan
DEF-000154,Porosity / Void,Minor,Weld Zone,Rework,345.28,INS-000431,IQC,2024-02-18,Fail,0.1003,2,RUN-00277,ST-8801-FASTENER,Line-Bravo,2024-02-17,Swing,OP-020,2024-02,2024,Pacific Rim Castings,Tier-2,Japan
DEF-000208,Wrong Material Cert,Critical,Datum,Rework,26272.45,INS-000590,In-Process,2024-02-11,Fail,0.0068,1,RUN-00382,ST-8801-FASTENER,Line-Alpha,2024-02-11,Swing,OP-020,2024-02,2024,Internal,N/A,N/A
DEF-000169,Improper Torque,Critical,Bore,Use-As-Is,24851.53,INS-000478,IQC,2024-02-08,Fail,0.097,3,RUN-00304,ST-8802-FASTENER,Line-Bravo,2024-02-08,Night,OP-019,2024-02,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000170,Wrong Material Cert,Minor,Bore,MRB Hold,343.82,INS-000478,IQC,2024-02-08,Fail,0.097,3,RUN-00304,ST-8802-FASTENER,Line-Bravo,2024-02-08,Night,OP-019,2024-02,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000113,Contamination,Minor,Edge Break,MRB Hold,240.91,INS-000327,FAI,2024-02-06,Fail,0.0964,2,RUN-00213,AS-7740-FRAME,Line-Charlie,2024-02-04,Night,OP-004,2024-02,2024,Internal,N/A,N/A
DEF-000114,Contamination,Minor,Surface,MRB Hold,293.4,INS-000328,FAI,2024-02-04,Fail,0.0379,1,RUN-00213,AS-7740-FRAME,Line-Charlie,2024-02-04,Night,OP-004,2024-02,2024,Internal,N/A,N/A
DEF-000065,Improper Torque,Minor,Datum,Use-As-Is,435.66,INS-000181,Receiving,2024-02-02,Fail,0.0241,4,RUN-00114,ST-8801-FASTENER,Line-Bravo,2024-01-30,Swing,OP-024,2024-01,2024,StratoMet Components,Tier-2,UK
DEF-000188,Weld Defect,Minor,Edge Break,Return to Supplier,433.12,INS-000550,FAI,2024-01-28,Fail,0.0192,5,RUN-00355,GD-2201-SERVO,Line-Bravo,2024-01-25,Night,OP-011,2024-01,2024,Internal,N/A,N/A
DEF-000189,Porosity / Void,Major,Surface,MRB Hold,1369.84,INS-000550,FAI,2024-01-28,Fail,0.0192,5,RUN-00355,GD-2201-SERVO,Line-Bravo,2024-01-25,Night,OP-011,2024-01,2024,Internal,N/A,N/A
DEF-000187,Porosity / Void,Minor,Edge Break,MRB Hold,370.73,INS-000548,IQC,2024-01-26,Fail,0.0402,1,RUN-00353,ST-8801-FASTENER,Line-Charlie,2024-01-25,Night,OP-003,2024-01,2024,StratoMet Components,Tier-2,UK
DEF-000091,Dimensional Out-of-Tolerance,Minor,Thread,MRB Hold,412.4,INS-000255,FAI,2024-01-23,Fail,0.051,4,RUN-00162,AS-7740-FRAME,Line-Delta,2024-01-20,Swing,OP-015,2024-01,2024,Internal,N/A,N/A
DEF-000190,Marking / Labeling Error,Minor,Bore,Return to Supplier,217.56,INS-000552,In-Process,2024-01-20,Fail,0.0,5,RUN-00356,AV-3301-PCB,Line-Bravo,2024-01-20,Night,OP-014,2024-01,2024,Internal,N/A,N/A
DEF-000191,Wrong Material Cert,Minor,Bore,Scrap,316.44,INS-000552,In-Process,2024-01-20,Fail,0.0,5,RUN-00356,AV-3301-PCB,Line-Bravo,2024-01-20,Night,OP-014,2024-01,2024,Internal,N/A,N/A
DEF-000219,Surface Finish Non-Conformance,Major,Edge Break,Rework,3786.67,INS-000628,IQC,2024-01-20,Fail,0.0046,5,RUN-00408,GD-2202-SERVO,Line-Delta,2024-01-19,Swing,OP-001,2024-01,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000257,Improper Torque,Minor,Datum,Use-As-Is,264.91,INS-000741,In-Process,2024-01-18,Fail,0.0368,4,RUN-00484,ST-8801-FASTENER,Line-Alpha,2024-01-17,Night,OP-002,2024-01,2024,Internal,N/A,N/A
DEF-000043,Wrong Material Cert,Minor,Weld Zone,MRB Hold,306.24,INS-000122,In-Process,2024-01-14,Fail,0.0701,5,RUN-00078,GD-2202-SERVO,Line-Bravo,2024-01-11,Night,OP-010,2024-01,2024,Internal,N/A,N/A
DEF-000160,Dimensional Out-of-Tolerance,Major,Weld Zone,Rework,1818.73,INS-000462,IQC,2024-01-12,Fail,0.0529,4,RUN-00295,GD-2202-SERVO,Line-Alpha,2024-01-09,Swing,OP-017,2024-01,2024,Atlas Substrate Corp,Tier-3,India
DEF-000233,Wrong Material Cert,Minor,Datum,Rework,182.47,INS-000659,IQC,2024-01-12,Fail,0.001,1,RUN-00432,ST-8802-FASTENER,Line-Delta,2024-01-10,Day,OP-016,2024-01,2024,NovaTech Avionics Supply,Tier-1,USA
DEF-000039,Porosity / Void,Minor,Bore,Use-As-Is,156.28,INS-000111,IQC,2024-01-10,Fail,0.1131,4,RUN-00071,AS-7741-FRAME,Line-Bravo,2024-01-08,Swing,OP-024,2024-01,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000040,Marking / Labeling Error,Minor,Thread,Scrap,80.31,INS-000111,IQC,2024-01-10,Fail,0.1131,4,RUN-00071,AS-7741-FRAME,Line-Bravo,2024-01-08,Swing,OP-024,2024-01,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000242,Surface Finish Non-Conformance,Major,Datum,MRB Hold,4075.29,INS-000697,Final,2024-01-10,Fail,0.0192,1,RUN-00457,AV-3301-PCB,Line-Charlie,2024-01-07,Night,OP-005,2024-01,2024,Internal,N/A,N/A
DEF-000183,Corrosion / Oxidation,Minor,Weld Zone,MRB Hold,245.57,INS-000516,Receiving,2023-12-29,Fail,0.1344,6,RUN-00330,AV-3301-PCB,Line-Charlie,2023-12-27,Night,OP-003,2023-12,2023,Pacific Rim Castings,Tier-2,Japan
DEF-000254,Dimensional Out-of-Tolerance,Minor,Datum,Scrap,458.33,INS-000740,FAI,2023-12-28,Fail,0.0994,1,RUN-00483,ST-8801-FASTENER,Line-Alpha,2023-12-25,Day,OP-018,2023-12,2023,Internal,N/A,N/A
DEF-000255,Missing Feature,Minor,Thread,Rework,273.83,INS-000740,FAI,2023-12-28,Fail,0.0994,1,RUN-00483,ST-8801-FASTENER,Line-Alpha,2023-12-25,Day,OP-018,2023-12,2023,Internal,N/A,N/A
DEF-000256,Corrosion / Oxidation,Minor,Seal Face,Rework,132.82,INS-000740,FAI,2023-12-28,Fail,0.0994,1,RUN-00483,ST-8801-FASTENER,Line-Alpha,2023-12-25,Day,OP-018,2023-12,2023,Internal,N/A,N/A
DEF-000133,Contamination,Minor,Seal Face,Rework,374.68,INS-000390,In-Process,2023-12-26,Fail,0.1518,6,RUN-00252,GD-2201-SERVO,Line-Charlie,2023-12-24,Swing,OP-003,2023-12,2023,Internal,N/A,N/A
DEF-000112,Porosity / Void,Minor,Seal Face,Rework,210.74,INS-000323,IQC,2023-12-18,Fail,0.0389,4,RUN-00209,ST-8802-FASTENER,Line-Charlie,2023-12-16,Day,OP-015,2023-12,2023,Delta Forge Industries,Tier-2,USA
DEF-000235,Improper Torque,Minor,Flange,Scrap,311.24,INS-000668,Receiving,2023-12-14,Fail,0.0367,6,RUN-00437,GD-2202-SERVO,Line-Bravo,2023-12-13,Night,OP-016,2023-12,2023,Pacific Rim Castings,Tier-2,Japan
DEF-000236,Dimensional Out-of-Tolerance,Minor,Thread,Scrap,465.21,INS-000668,Receiving,2023-12-14,Fail,0.0367,6,RUN-00437,GD-2202-SERVO,Line-Bravo,2023-12-13,Night,OP-016,2023-12,2023,Pacific Rim Castings,Tier-2,Japan
DEF-000178,Marking / Labeling Error,Minor,Bore,Scrap,447.72,INS-000508,Final,2023-12-12,Fail,0.0239,4,RUN-00325,ST-8801-FASTENER,Line-Delta,2023-12-09,Swing,OP-013,2023-12,2023,Internal,N/A,N/A
DEF-000087,Porosity / Void,Major,Flange,Rework,1930.8,INS-000238,IQC,2023-12-07,Fail,0.0137,6,RUN-00152,GD-2202-SERVO,Line-Bravo,2023-12-04,Night,OP-008,2023-12,2023,Apex Precision Machining,Tier-1,USA
DEF-000022,Marking / Labeling Error,Major,Datum,MRB Hold,4701.34,INS-000050,FAI,2023-12-06,Fail,0.0092,1,RUN-00033,AS-7741-FRAME,Line-Charlie,2023-12-03,Swing,OP-020,2023-12,2023,Internal,N/A,N/A
DEF-000109,Marking / Labeling Error,Minor,Thread,Return to Supplier,404.49,INS-000320,Final,2023-12-06,Fail,0.1059,2,RUN-00207,GD-2201-SERVO,Line-Delta,2023-12-03,Night,OP-024,2023-12,2023,Internal,N/A,N/A
DEF-000110,Porosity / Void,Minor,Bore,Return to Supplier,144.0,INS-000320,Final,2023-12-06,Fail,0.1059,2,RUN-00207,GD-2201-SERVO,Line-Delta,2023-12-03,Night,OP-024,2023-12,2023,Internal,N/A,N/A
